user_id,order_id,action,time,date,group
964,1255,create_order,2022-08-26 00:00:19.000000,2022-08-26,0
965,1256,create_order,2022-08-26 00:02:21.000000,2022-08-26,1
964,1257,create_order,2022-08-26 00:02:27.000000,2022-08-26,0
966,1258,create_order,2022-08-26 00:02:56.000000,2022-08-26,0
967,1259,create_order,2022-08-26 00:03:37.000000,2022-08-26,1
968,1261,create_order,2022-08-26 00:05:35.000000,2022-08-26,0
969,1262,create_order,2022-08-26 00:06:25.000000,2022-08-26,0
970,1263,create_order,2022-08-26 00:08:22.000000,2022-08-26,1
966,1258,cancel_order,2022-08-26 00:08:25.486419,2022-08-26,0
971,1264,create_order,2022-08-26 00:10:53.000000,2022-08-26,1
972,1265,create_order,2022-08-26 00:11:21.000000,2022-08-26,0
973,1266,create_order,2022-08-26 00:12:00.000000,2022-08-26,1
974,1267,create_order,2022-08-26 00:12:29.000000,2022-08-26,1
971,1268,create_order,2022-08-26 00:12:41.000000,2022-08-26,1
975,1269,create_order,2022-08-26 00:12:58.000000,2022-08-26,0
976,1270,create_order,2022-08-26 00:16:29.000000,2022-08-26,0
977,1271,create_order,2022-08-26 00:16:57.000000,2022-08-26,1
978,1272,create_order,2022-08-26 00:18:28.000000,2022-08-26,1
979,1273,create_order,2022-08-26 00:18:54.000000,2022-08-26,0
978,1274,create_order,2022-08-26 00:19:45.000000,2022-08-26,1
980,1275,create_order,2022-08-26 00:19:46.000000,2022-08-26,0
981,1276,create_order,2022-08-26 00:20:11.000000,2022-08-26,0
982,1277,create_order,2022-08-26 00:21:33.000000,2022-08-26,0
983,1280,create_order,2022-08-26 00:25:35.000000,2022-08-26,1
983,1283,create_order,2022-08-26 00:27:21.000000,2022-08-26,1
984,1284,create_order,2022-08-26 00:29:54.000000,2022-08-26,0
985,1285,create_order,2022-08-26 00:30:28.000000,2022-08-26,1
986,1286,create_order,2022-08-26 00:30:37.000000,2022-08-26,1
987,1287,create_order,2022-08-26 00:31:36.000000,2022-08-26,0
988,1288,create_order,2022-08-26 00:31:50.000000,2022-08-26,1
988,1289,create_order,2022-08-26 00:32:05.000000,2022-08-26,1
989,1290,create_order,2022-08-26 00:36:44.000000,2022-08-26,0
990,1291,create_order,2022-08-26 00:36:49.000000,2022-08-26,1
991,1293,create_order,2022-08-26 00:37:46.000000,2022-08-26,0
989,1294,create_order,2022-08-26 00:37:50.000000,2022-08-26,0
992,1295,create_order,2022-08-26 00:38:23.000000,2022-08-26,1
993,1296,create_order,2022-08-26 00:39:26.000000,2022-08-26,0
994,1297,create_order,2022-08-26 00:42:58.000000,2022-08-26,1
995,1298,create_order,2022-08-26 00:43:47.000000,2022-08-26,0
993,1296,cancel_order,2022-08-26 00:44:18.150475,2022-08-26,0
996,1300,create_order,2022-08-26 00:45:45.000000,2022-08-26,1
997,1301,create_order,2022-08-26 00:46:21.000000,2022-08-26,1
998,1302,create_order,2022-08-26 00:46:48.000000,2022-08-26,0
999,1304,create_order,2022-08-26 00:47:08.000000,2022-08-26,1
1000,1305,create_order,2022-08-26 00:47:11.000000,2022-08-26,1
997,1306,create_order,2022-08-26 00:47:53.000000,2022-08-26,1
1001,1307,create_order,2022-08-26 00:48:09.000000,2022-08-26,1
995,1298,cancel_order,2022-08-26 00:49:51.514240,2022-08-26,0
1002,1308,create_order,2022-08-26 00:51:54.000000,2022-08-26,1
1003,1309,create_order,2022-08-26 00:52:48.000000,2022-08-26,0
1004,1310,create_order,2022-08-26 00:53:03.000000,2022-08-26,0
1005,1311,create_order,2022-08-26 00:53:03.000000,2022-08-26,0
1006,1313,create_order,2022-08-26 00:56:24.000000,2022-08-26,1
1007,1314,create_order,2022-08-26 00:56:47.000000,2022-08-26,0
1002,1308,cancel_order,2022-08-26 00:58:01.924112,2022-08-26,1
1008,1315,create_order,2022-08-26 00:58:59.000000,2022-08-26,0
1008,1316,create_order,2022-08-26 00:59:12.000000,2022-08-26,0
1009,1317,create_order,2022-08-26 01:00:48.000000,2022-08-26,1
1010,1319,create_order,2022-08-26 01:03:01.000000,2022-08-26,1
1011,1320,create_order,2022-08-26 01:03:27.000000,2022-08-26,0
1008,1315,cancel_order,2022-08-26 01:06:11.292953,2022-08-26,0
1012,1322,create_order,2022-08-26 01:07:07.000000,2022-08-26,0
1013,1323,create_order,2022-08-26 01:07:41.000000,2022-08-26,0
1014,1324,create_order,2022-08-26 01:08:54.000000,2022-08-26,0
1010,1319,cancel_order,2022-08-26 01:09:22.866276,2022-08-26,1
1014,1325,create_order,2022-08-26 01:09:44.000000,2022-08-26,0
1015,1326,create_order,2022-08-26 01:10:08.000000,2022-08-26,1
1016,1327,create_order,2022-08-26 01:12:10.000000,2022-08-26,0
1017,1328,create_order,2022-08-26 01:13:07.000000,2022-08-26,1
1018,1329,create_order,2022-08-26 01:15:20.000000,2022-08-26,1
1019,1330,create_order,2022-08-26 01:15:23.000000,2022-08-26,1
1019,1331,create_order,2022-08-26 01:16:51.000000,2022-08-26,1
1020,1332,create_order,2022-08-26 01:20:05.000000,2022-08-26,1
1021,1334,create_order,2022-08-26 01:21:20.000000,2022-08-26,0
1022,1335,create_order,2022-08-26 01:21:48.000000,2022-08-26,1
1023,1338,create_order,2022-08-26 01:24:03.000000,2022-08-26,1
1025,1340,create_order,2022-08-26 01:24:04.000000,2022-08-26,0
1024,1339,create_order,2022-08-26 01:24:04.000000,2022-08-26,1
1026,1341,create_order,2022-08-26 01:27:12.000000,2022-08-26,0
1004,1342,create_order,2022-08-26 01:27:24.000000,2022-08-26,0
1022,1335,cancel_order,2022-08-26 01:28:46.964359,2022-08-26,1
1027,1343,create_order,2022-08-26 01:33:29.000000,2022-08-26,1
1028,1344,create_order,2022-08-26 01:34:05.000000,2022-08-26,1
1029,1345,create_order,2022-08-26 01:38:15.000000,2022-08-26,1
1028,1344,cancel_order,2022-08-26 01:41:18.582280,2022-08-26,1
1030,1346,create_order,2022-08-26 01:42:24.000000,2022-08-26,1
1031,1347,create_order,2022-08-26 01:42:40.000000,2022-08-26,1
1032,1348,create_order,2022-08-26 01:42:55.000000,2022-08-26,0
1033,1352,create_order,2022-08-26 01:48:56.000000,2022-08-26,0
1034,1353,create_order,2022-08-26 01:48:57.000000,2022-08-26,0
1035,1354,create_order,2022-08-26 01:49:05.000000,2022-08-26,1
1036,1355,create_order,2022-08-26 01:54:37.000000,2022-08-26,0
1037,1357,create_order,2022-08-26 01:56:51.000000,2022-08-26,0
1038,1359,create_order,2022-08-26 01:59:08.000000,2022-08-26,1
1037,1360,create_order,2022-08-26 01:59:33.000000,2022-08-26,0
1039,1361,create_order,2022-08-26 01:59:42.000000,2022-08-26,1
1040,1362,create_order,2022-08-26 02:01:15.000000,2022-08-26,0
